"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","huodhuwdhi","denglushibai","2","0","2","0","0"
"","获取币种价格","币种列表数据","0","0","1","0","0"
"","api_test","denglushibai","1","0","1","0","0"
"","api_test","验证获取币种价格","1","0","3","0","0"
"","huodhuwdhi","验证获取币种价格","1","0","1","0","0"
"","币种信息错误","获取不到币种信息","0","0","1","0","0"
"","币种信息错误","验证获取币种价格","0","0","1","0","0"
"","api_test","获取不到币种信息","0","0","1","0","0"
"","api_test","获取成功","0","0","1","0","0"
"","获取币种价格","获取成功","0","0","1","0","0"
"","获取币种价格","验证获取币种价格","0","0","1","0","0"
